"scen","r2m","r2c","r2m_for","r2m_clim","denom","for_ri","clim_ri","shared_ri","randEff_propR2","rep"
"temp_2100",0.118444580476548,0.636384157895255,0.00813628529798964,0.117290155713407,0.125426441011397,0.0648689800362776,0.935131019963722,0,0.813878804167147,8
"cover_2050",0.00986002733547408,0.563894735226579,0.0046061399545083,0.00648623404763986,0.0110923740021482,0.415252853322135,0.584747146677865,0,0.98251441852616,9
"richness_2050",0.0259716967633753,0.651210444675739,0.0024399352434897,0.0257759356204247,0.0282158708639144,0.0864738591715826,0.913526140828417,0,0.960117812950148,9
"temp_2050",0.0505497646582506,0.786750167661846,0.00357703780327133,0.0508307479105283,0.0544077857137996,0.0657449619818671,0.934255038018133,1.11022302462516e-16,0.935748644568478,9
"cover_2100",0.0233155182381996,0.39312597551622,0.00963209849569758,0.00805845381834179,0.0233155182381996,0.413119639773505,0.34562619350828,0.241254166718215,0.940691992668295,9
"richness_2100",0.0471713596687788,0.502521860037159,0.000966679746030577,0.0460792438813843,0.0471713596687788,0.0204929379356091,0.976847905274238,0.00265915679015238,0.906130730978965,9
"temp_2100",0.116364637463,0.632812990243576,0.00812645365808834,0.115897220736517,0.124023674394606,0.0655234067024368,0.934476593297563,-1.11022302462516e-16,0.816115283255785,9
"cover_2050",0.0113464643435813,0.557142689211755,0.00597160067258749,0.00722781348342203,0.0131994141560095,0.452414069443279,0.547585930556721,0,0.979634545039738,10
"richness_2050",0.0267317102427158,0.648885720640627,0.00302720516239927,0.0265878149295496,0.0296150200919488,0.102218575337798,0.897781424662202,0,0.958803670057149,10
"temp_2050",0.0498658922560758,0.786724110797471,0.00406563305737755,0.0500668065422835,0.0541324395996611,0.0751052989195596,0.92489470108044,0,0.936615782366796,10
"cover_2100",0.0143212962990344,0.3625419310282,0.00119404260357168,0.0121741169615879,0.0143212962990344,0.0833753159378589,0.850070880972467,0.0665538030896744,0.960497545046947,10
"richness_2100",0.0511192410951167,0.492706308697113,0.00370757486002922,0.0509011347839442,0.0546087096439734,0.0678934712832641,0.932106528716736,0,0.896248048395618,10
"temp_2100",0.116822947066391,0.63335168986286,0.0073616939240597,0.115870393233137,0.123232087157197,0.0597384503815876,0.940261549618412,0,0.815548061312211,10
